5 63 GLA LOT BATH BED CONST
33800 1080 0.175 1.5 3 1
72000 1449 0.359 1.5 3 1
86330 1247 0.268 2 3 1
109000 1685 0.25 2 3 1
79000 1853 0.275 2 3 1
31000 1104 0.172 1 3 1
94500 1550 0.221 2 3 1
61000 1175 0.161 2 3 1
108000 1801 0.23 2 3 1
84500 1131 0.21 1.5 3 1
60000 1471 0.459 2 3 1
67475 1074 0.192 2 3 1
65500 1876 0.207 2 3 1
53000 1010 0.182 1.5 3 1
108000 1761 0.312 2 4 1
66000 1673 0.215 2 3 1
84000 1458 0.258 2 3 1
125500 2433 0.232 2 3 1
76596 1769 0.27 2 3 1
98000 1507 0.252 2 3 1
113500 1855 0.297 2 3 1
98000 1896 0.185 2 3 1
120155.5 1701 0.473 2 3 1
126300 2132 0.3 2.5 4 1
70000 1248 0.217 1.5 3 1
137500 1881 0.808 2 4 1
107000 1362 0.32 2 3 1
113000 1998 0.358 2.5 4 1
106900 1740 0.332 3 3 1
89000 1708 0.232 2 3 1
105000 1701 0.227 2 3 1
80000 1292 0.339 1.5 3 1
76000 1450 0.406 2 3 1
63000 1280 0.055 1.5 2 1
80888 1300 0.227 2 3 1
89500 1572 0.212 2 3 1
85300.35 1147 0.365 1.5 3 1
92000 1614 0.297 2 3 1
47000 1643 0.316 1.5 4 1
122500 2034 0.359 2.5 3 1
70000 1380 0.324 2 3 1
79000 1330 0.21 2 3 1
105000 1537 0.294 2 3 1
105801 1643 0.316 1.5 3 1
126500 2132 0.328 3 4 1
112000 1896 0.185 2 3 1
123750 1687 0.302 2 3 1
118000 1537 0.294 2 3 1
143500 2502 0.27 3 4 1
111500 1911 0.39 2.5 3 1
55000 1433 0.221 2 3 1
123500 1839 0.23 2 3 1
63500 1467 0.24 1.5 3 1
55000 1110 0.201 1.5 3 1
108000 1659 0.252 2 3 1
106480.89 1769 0.27 2 3 1
110000 2061 0.261 2 3 1
176000 3138 0.482 2.5 5 1
74900 1176 0.175 2 3 1
139000 1972 0.308 3 3 1
55500 1032 0.172 1.5 3 1
150000 2550 0.414 3 4 1
148000 1959 0.26 2 3 1
